StyleCode,FrameConstruction,FrameShape,RXAble,Gender,SunOptical,Material1,Material2,USRetailPrice,USWholesalePrice
CK19119,Full Rim,Square,True,Female,Optical,Acetate,Acetate,223.00,111.50
CK19569,Full Rim,Round,True,Unisex,Optical,Acetate,Acetate,295.00,147.50
CK19573,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,180.00,90.00
CK20527,Full Rim,Square,True,Female,Optical,Acetate,Acetate,158.00,79.00
CK20531,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,126.00,63.00
CK20541S,Full Rim,Round,True,Unisex,Sun,Acetate,Acetate,190.00,95.00
CK20551A,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,240.00,120.00
CK20552A,Full Rim,Round,True,Female,Optical,Acetate,Acetate,240.00,120.00
CK21131S,Full Rim,Rectangle,True,Male,Sun,Metal,Metal,190.00,95.00
CK21511A,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,210.00,105.00
CK21524,Full Rim,Square,True,Female,Optical,Metal,Metal,200.00,100.00
CK21529S,Full Rim,Square,True,Female,Sun,Metal,Metal,185.00,92.50
CK22130LB,Full Rim,Rectangle,True,Male,Optical,Titanium,Titanium,325.00,162.50
CK22508,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,199.95,99.98
CK22533S,Full Rim,Round,True,Unisex,Sun,BIO INJ-G820,BIO INJ-G820,215.00,107.50
CK22561LB,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,240.00,120.00
CK23100S,Full Rim,Square,True,Male,Sun,Metal,Metal,189.00,94.50
CK23508S,Full Rim,Aviator,True,Male,Sun,Metal,Metal,250.00,125.00
CK23509S,Full Rim,Round,True,Unisex,Sun,Metal,Metal,250.00,125.00
CK23516,Full Rim,Round,True,Female,Optical,Acetate,Acetate,176.00,88.00
CK23523,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,205.00,102.50
CK23525,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,205.00,102.50
CK23526,Full Rim,Square,True,Female,Optical,Acetate,Acetate,205.00,102.50
CK23527,Full Rim,Square,True,Female,Optical,Acetate,Acetate,205.00,102.50
CK23528,Full Rim,Round,True,Unisex,Optical,Acetate,Acetate,205.00,102.50
CK23530LB,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,215.00,107.50
CK23538S,Full Rim,Rectangle,True,Male,Sun,Acetate,Acetate,190.00,95.00
CK23539S,Full Rim,Round,True,Female,Sun,Acetate,Acetate,190.00,95.00
CK23544,Full Rim,Rectangle,True,Male,Optical,Acetate,Acetate,185.00,92.50
CK23548,Full Rim,Square,True,Unisex,Optical,Acetate,Acetate,185.00,92.50
CK24100S,Full Rim,Rectangle,True,Male,Sun,Metal,Metal,205.00,102.50
CK24101,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,210.00,105.00
CK24103,Full Rim,Square,True,Unisex,Optical,Metal,Metal,210.00,105.00
CK24105,Full Rim,Round,True,Female,Optical,Metal,Metal,210.00,105.00
CK24106LB,Full Rim,Rectangle,True,Male,Optical,Metal,Metal,220.00,110.00
CK24505S,Full Rim,Cat Eye,True,Female,Sun,Acetate,Acetate,190.00,95.00
CK24507S,Full Rim,Rectangle,True,Male,Sun,Acetate,Acetate,190.00,95.00
CK24509S,Full Rim,Round,True,Unisex,Sun,Metal,Metal,190.00,95.00
CK24511S,Full Rim,Square,True,Female,Sun,Acetate,Acetate,190.00,95.00
CK24512S,Full Rim,Rectangle,True,Male,Sun,Acetate,Acetate,190.00,95.00
CK24513,Full Rim,Square,True,Unisex,Optical,BIO INJ-G820,BIO INJ-G820,209.00,104.50
CK24514,Full Rim,Rectangle,True,Male,Optical,BIO INJ-G820,BIO INJ-G820,209.00,104.50
