Collection,Brand,Macro Region|Orig. Req. Deliv. Month/Year,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,Total,StyleCode,Size,ColorDescription,FrameConstruction,FrameShape,RXAble,Gender,SunOptical,Material1,Material2,USRetailPrice,USWholesalePrice
KC,CALVIN KLEIN SUN,AMER,26.0,28.0,27.0,26.0,9.0,24.0,21.0,35.0,21.0,20.0,32.0,16.0,285.0,CK20541S,57,BLACK,FULL RIM,ROUND,True,UNISEX,SUN,ACETATE,ACETATE,190.0,95.0
KC,CALVIN KLEIN SUN,EMEA,10.0,18.0,11.0,11.0,46.0,36.0,84.0,22.0,29.0,131.0,14.0,46.0,458.0,CK20541S,57,BLACK,FULL RIM,ROUND,True,UNISEX,SUN,ACETATE,ACETATE,190.0,95.0
KC,CALVIN KLEIN SUN,AMER,33.0,39.0,14.0,16.0,28.0,15.0,16.0,33.0,68.0,47.0,24.0,21.0,354.0,CK20541S,57,DARK TOR,FULL RIM,ROUND,True,UNISEX,SUN,ACETATE,ACETATE,190.0,95.0
KC,CALVIN KLEIN SUN,EMEA,21.0,15.0,11.0,8.0,34.0,61.0,55.0,39.0,43.0,23.0,20.0,7.0,337.0,CK20541S,57,DARK TOR,FULL RIM,ROUND,True,UNISEX,SUN,ACETATE,ACETATE,190.0,95.0
KC,CALVIN KLEIN SUN,AMER,11.0,21.0,15.0,17.0,12.0,8.0,11.0,11.0,15.0,7.0,19.0,12.0,159.0,CK20541S,57,CRYSTAL,FULL RIM,ROUND,True,UNISEX,SUN,ACETATE,ACETATE,190.0,95.0
KC,CALVIN KLEIN SUN,EMEA,5.0,5.0,4.0,4.0,13.0,22.0,8.0,3.0,3.0,7.0,5.0,3.0,82.0,CK20541S,57,CRYSTAL,FULL RIM,ROUND,True,UNISEX,SUN,ACETATE,ACETATE,190.0,95.0
KC,CALVIN KLEIN SUN,AMER,33.0,34.0,23.0,30.0,19.0,34.0,20.0,34.0,41.0,41.0,39.0,35.0,383.0,CK21529S,55,BLACK,FULL RIM,SQUARE,True,FEMALE,SUN,METAL,METAL,185.0,92.5
KC,CALVIN KLEIN SUN,EMEA,7.0,8.0,8.0,1.0,17.0,34.0,20.0,9.0,21.0,15.0,30.0,6.0,176.0,CK21529S,55,BLACK,FULL RIM,SQUARE,True,FEMALE,SUN,METAL,METAL,185.0,92.5
KC,CALVIN KLEIN SUN,AMER,38.0,44.0,38.0,46.0,25.0,15.0,12.0,32.0,50.0,31.0,45.0,26.0,402.0,CK21529S,55,BROWN HA,FULL RIM,SQUARE,True,FEMALE,SUN,METAL,METAL,185.0,92.5
KC,CALVIN KLEIN SUN,EMEA,12.0,8.0,11.0,5.0,24.0,29.0,33.0,17.0,13.0,7.0,6.0,5.0,170.0,CK21529S,55,BROWN HA,FULL RIM,SQUARE,True,FEMALE,SUN,METAL,METAL,185.0,92.5
KC,CALVIN KLEIN SUN,AMER,8.0,7.0,9.0,6.0,4.0,5.0,9.0,9.0,9.0,3.0,4.0,8.0,81.0,CK21529S,55,AVIO,FULL RIM,SQUARE,True,FEMALE,SUN,METAL,METAL,185.0,92.5
KC,CALVIN KLEIN SUN,EMEA,5.0,3.0,8.0,,11.0,20.0,18.0,17.0,10.0,5.0,5.0,5.0,107.0,CK21529S,55,AVIO,FULL RIM,SQUARE,True,FEMALE,SUN,METAL,METAL,185.0,92.5
KC,CALVIN KLEIN SUN,AMER,6.0,7.0,2.0,4.0,3.0,5.0,2.0,6.0,13.0,8.0,5.0,5.0,66.0,CK21529S,55,ROSE,FULL RIM,SQUARE,True,FEMALE,SUN,METAL,METAL,185.0,92.5
KC,CALVIN KLEIN SUN,EMEA,,7.0,5.0,1.0,16.0,19.0,10.0,10.0,9.0,5.0,2.0,,84.0,CK21529S,55,ROSE,FULL RIM,SQUARE,True,FEMALE,SUN,METAL,METAL,185.0,92.5
KC,CALVIN KLEIN SUN,AMER,18.0,18.0,23.0,18.0,15.0,5.0,8.0,12.0,24.0,18.0,23.0,15.0,197.0,CK21131S,56,BLACK,FULL RIM,RECTANGLE,True,MALE,SUN,METAL,METAL,190.0,95.0
KC,CALVIN KLEIN SUN,EMEA,42.0,23.0,31.0,14.0,72.0,79.0,53.0,38.0,50.0,37.0,33.0,13.0,485.0,CK21131S,56,BLACK,FULL RIM,RECTANGLE,True,MALE,SUN,METAL,METAL,190.0,95.0
KC,CALVIN KLEIN SUN,AMER,7.0,10.0,4.0,12.0,11.0,13.0,7.0,4.0,11.0,8.0,8.0,5.0,100.0,CK21131S,56,BROWN,FULL RIM,RECTANGLE,True,MALE,SUN,METAL,METAL,190.0,95.0
KC,CALVIN KLEIN SUN,EMEA,22.0,16.0,14.0,8.0,56.0,59.0,37.0,18.0,16.0,24.0,18.0,16.0,304.0,CK21131S,56,BROWN,FULL RIM,RECTANGLE,True,MALE,SUN,METAL,METAL,190.0,95.0
KC,CALVIN KLEIN SUN,AMER,,2.0,2.0,1.0,1.0,7.0,9.0,11.0,12.0,2.0,6.0,,53.0,CK21131S,56,SAND,FULL RIM,RECTANGLE,True,MALE,SUN,METAL,METAL,190.0,95.0
KC,CALVIN KLEIN SUN,EMEA,10.0,5.0,10.0,3.0,11.0,12.0,11.0,14.0,9.0,8.0,6.0,2.0,101.0,CK21131S,56,SAND,FULL RIM,RECTANGLE,True,MALE,SUN,METAL,METAL,190.0,95.0
KC,CALVIN KLEIN SUN,AMER,12.0,9.0,6.0,2.0,1.0,10.0,15.0,4.0,8.0,8.0,9.0,4.0,88.0,CK21131S,56,BLUE,FULL RIM,RECTANGLE,True,MALE,SUN,METAL,METAL,190.0,95.0
KC,CALVIN KLEIN SUN,EMEA,2.0,2.0,3.0,1.0,9.0,13.0,9.0,11.0,6.0,1.0,5.0,1.0,63.0,CK21131S,56,BLUE,FULL RIM,RECTANGLE,True,MALE,SUN,METAL,METAL,190.0,95.0
KC,CALVIN KLEIN SUN,AMER,7.0,7.0,3.0,8.0,3.0,8.0,5.0,11.0,4.0,2.0,5.0,3.0,66.0,CK22533S,52,BLACK,FULL RIM,ROUND,True,UNISEX,SUN,BIO INJ-G820,BIO INJ-G820,215.0,107.5
KC,CALVIN KLEIN SUN,EMEA,28.0,8.0,9.0,1.0,18.0,35.0,34.0,26.0,18.0,9.0,6.0,5.0,197.0,CK22533S,52,BLACK,FULL RIM,ROUND,True,UNISEX,SUN,BIO INJ-G820,BIO INJ-G820,215.0,107.5
KC,CALVIN KLEIN SUN,AMER,12.0,20.0,17.0,30.0,22.0,12.0,10.0,8.0,11.0,12.0,12.0,15.0,181.0,CK22533S,52,OYSTER,FULL RIM,ROUND,True,UNISEX,SUN,BIO INJ-G820,BIO INJ-G820,215.0,107.5
KC,CALVIN KLEIN SUN,EMEA,41.0,25.0,21.0,14.0,58.0,83.0,67.0,48.0,39.0,25.0,23.0,8.0,452.0,CK22533S,52,OYSTER,FULL RIM,ROUND,True,UNISEX,SUN,BIO INJ-G820,BIO INJ-G820,215.0,107.5
KC,CALVIN KLEIN SUN,AMER,2.0,2.0,,4.0,1.0,3.0,1.0,6.0,4.0,3.0,,6.0,32.0,CK22533S,52,BROWN HA,FULL RIM,ROUND,True,UNISEX,SUN,BIO INJ-G820,BIO INJ-G820,215.0,107.5
KC,CALVIN KLEIN SUN,EMEA,35.0,28.0,22.0,2.0,30.0,26.0,53.0,30.0,31.0,12.0,5.0,7.0,281.0,CK22533S,52,BROWN HA,FULL RIM,ROUND,True,UNISEX,SUN,BIO INJ-G820,BIO INJ-G820,215.0,107.5
KC,CALVIN KLEIN SUN,AMER,1.0,9.0,4.0,5.0,3.0,3.0,7.0,9.0,4.0,,2.0,3.0,50.0,CK22533S,52,BUTTERSC,FULL RIM,ROUND,True,UNISEX,SUN,BIO INJ-G820,BIO INJ-G820,215.0,107.5
KC,CALVIN KLEIN SUN,EMEA,20.0,19.0,14.0,1.0,20.0,21.0,20.0,16.0,17.0,10.0,10.0,5.0,173.0,CK22533S,52,BUTTERSC,FULL RIM,ROUND,True,UNISEX,SUN,BIO INJ-G820,BIO INJ-G820,215.0,107.5
